episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,course,time
3633,743.0,683,351,False,0,0.56416,995,1-1,2025-12-10 07:15:50.887482
3634,292.0,304,394,False,0,0.56404,125,1-1,2025-12-10 07:15:51.183664
3635,422.0,722,0,False,0,0.56392,8018,1-1,2025-12-10 07:16:10.248698
3636,277.0,295,392,False,0,0.5638,159,1-1,2025-12-10 07:16:10.632156
3637,426.0,722,0,False,0,0.56368,8018,1-1,2025-12-10 07:16:29.708955
3638,752.0,698,370,False,0,0.5635600000000001,601,1-1,2025-12-10 07:16:31.141233
3639,412.0,722,0,False,0,0.5634399999999999,8018,1-1,2025-12-10 07:16:50.192320
3640,747.0,676,379,False,0,0.56332,431,1-1,2025-12-10 07:16:51.197155
3641,769.0,688,382,False,0,0.5631999999999999,369,1-1,2025-12-10 07:16:52.069199
3642,613.0,818,84,False,0,0.56308,6319,1-1,2025-12-10 07:17:07.109008
3643,271.0,285,393,False,0,0.56296,155,1-1,2025-12-10 07:17:07.483395
3644,285.0,299,393,False,0,0.56284,139,1-1,2025-12-10 07:17:07.809485
3645,276.0,291,392,False,0,0.56272,165,1-1,2025-12-10 07:17:08.199646
3646,417.0,722,0,False,0,0.5626,8018,1-1,2025-12-10 07:17:27.337237
3647,776.0,710,354,False,0,0.5624800000000001,919,1-1,2025-12-10 07:17:29.524303
3648,297.0,307,393,False,0,0.56236,145,1-1,2025-12-10 07:17:29.873005
3649,761.0,708,369,False,0,0.5622400000000001,635,1-1,2025-12-10 07:17:31.391324
3650,944.0,898,305,False,0,0.56212,1909,1-1,2025-12-10 07:17:35.924567
3651,297.0,307,393,False,0,0.5619999999999999,147,1-1,2025-12-10 07:17:36.271053
3652,751.0,698,380,False,0,0.5618799999999999,399,1-1,2025-12-10 07:17:37.202471
3653,282.0,295,393,False,0,0.56176,141,1-1,2025-12-10 07:17:37.543491
3654,283.0,295,393,False,0,0.56164,143,1-1,2025-12-10 07:17:37.873939
3655,391.0,722,0,False,0,0.56152,8018,1-1,2025-12-10 07:17:56.870052
3656,804.0,722,372,False,0,0.5614,569,1-1,2025-12-10 07:17:58.225414
3657,427.0,722,0,False,0,0.56128,8018,1-1,2025-12-10 07:18:17.288421
3658,294.0,304,393,False,0,0.56116,141,1-1,2025-12-10 07:18:17.632926
3659,729.0,673,380,False,0,0.56104,411,1-1,2025-12-10 07:18:18.604493
3660,779.0,698,382,False,0,0.56092,361,1-1,2025-12-10 07:18:19.459745
3661,713.0,853,139,False,0,0.5608,5231,1-1,2025-12-10 07:18:32.001909
3662,727.0,722,305,False,0,0.5606800000000001,1903,1-1,2025-12-10 07:18:36.545487
3663,797.0,711,383,False,0,0.56056,349,1-1,2025-12-10 07:18:37.361772
3664,792.0,706,383,False,0,0.56044,351,1-1,2025-12-10 07:18:38.182138
3665,270.0,296,393,False,0,0.5603199999999999,141,1-1,2025-12-10 07:18:38.524804
3666,411.0,722,0,False,0,0.5602,8018,1-1,2025-12-10 07:18:57.579802
3667,282.0,298,393,False,0,0.5600799999999999,139,1-1,2025-12-10 07:18:57.905141
3668,733.0,672,377,False,0,0.55996,475,1-1,2025-12-10 07:18:59.027171
3669,300.0,309,394,False,0,0.55984,121,1-1,2025-12-10 07:18:59.308058
3670,296.0,303,393,False,0,0.55972,147,1-1,2025-12-10 07:18:59.680706
3671,684.0,898,31,False,0,0.5596,7381,1-1,2025-12-10 07:19:17.205939
3672,437.0,722,0,False,0,0.55948,8018,1-1,2025-12-10 07:19:36.402645
3673,414.0,722,0,False,0,0.5593600000000001,8018,1-1,2025-12-10 07:19:55.481816
3674,421.0,722,0,False,0,0.55924,8018,1-1,2025-12-10 07:20:14.728453
3675,283.0,303,394,False,0,0.5591200000000001,123,1-1,2025-12-10 07:20:15.010847
